ID del Animal,Nombre Común,Tipo de Animal,Número de Extremidades,Velocidad Máxima (km/h),Temperatura Corporal Promedio (°C),Número de Crías por Reproducción,Altitud Máxima (m),Frecuencia Respiratoria (respiraciones/min),Frecuencia Cardiaca (latidos/min),Hábitat,Estado de Conservación,Peso (kg),Método de Reproducción_Ovíparo,Método de Reproducción_Vivíparo,Peso (kg) Discretizado
20.0,Panda,2,0.0,0.331618887015177,23.9,6.0,2597.0,36.0,0.1705426356589147,Montaña,Extinto en estado silvestre,3205.5,0.0,1.0,3.0
21.0,Búho,0,8.0,0.5037942664418212,14.3,1.0,576.0,33.0,0.18604651162790697,Selva,Extinto en estado silvestre,2666.0,0.0,1.0,2.0
22.0,Pájaro Carpintero,0,4.0,0.47824620573355814,11.2,4.0,3262.0,12.0,0.7596899224806202,Selva,Extinto en estado silvestre,4585.1,0.0,1.0,4.0
23.0,Pez Espada,3,4.0,0.318043844856661,38.5,5.0,549.0,23.0,0.7209302325581395,Desierto,Vulnerable,2315.1,1.0,0.0,2.0
24.0,Pez Payaso,3,8.0,0.2997470489038786,31.7,6.0,4862.0,23.0,0.8604651162790697,Selva,Extinto en estado silvestre,3211.6,1.0,0.0,3.0
25.0,Mariposa Monarca,1,0.0,0.44510961214165257,24.9,5.0,4552.0,16.0,0.6356589147286822,Selva,Extinto en estado silvestre,2008.0,0.0,1.0,2.0
26.0,Camarón,1,6.0,0.8032883642495784,26.5,2.0,1292.0,36.0,0.9922480620155039,Selva,En peligro,4147.3,1.0,0.0,4.0
27.0,Tortuga,4,0.0,0.24612141652613825,25.3,3.0,5039.0,10.0,0.8372093023255813,Montaña,Extinto en estado silvestre,4631.9,1.0,0.0,4.0
28.0,Martinete,0,2.0,0.8457841483979763,37.0,5.0,2291.0,24.0,0.8294573643410852,Océano,En peligro,2158.7,1.0,0.0,2.0
29.0,Águila,0,0.0,0.7239460370994941,33.2,7.0,4375.0,23.0,0.14728682170542629,Selva,Extinto en estado silvestre,413.6,1.0,0.0,0.0
30.0,Tiburón,3,4.0,0.26037099494097804,19.8,4.0,803.0,13.0,0.21705426356589141,Desierto,Extinto en estado silvestre,817.8,0.0,1.0,0.0
31.0,Hipopótamo,2,6.0,0.011467116357504213,16.5,6.0,3219.0,13.0,0.4728682170542635,Desierto,En peligro,3602.7,1.0,0.0,3.0
32.0,Gorila,2,8.0,0.07462057335581787,12.0,9.0,1132.0,34.0,0.01550387596899222,Océano,En peligro,1626.4,0.0,1.0,1.0
33.0,Tiburón,3,0.0,0.8833895446880269,14.4,7.0,3512.0,37.0,0.41860465116279066,Desierto,Extinto en estado silvestre,3926.9,0.0,1.0,3.0
34.0,Camarón,1,6.0,0.80716694772344,24.7,3.0,2496.0,20.0,0.33333333333333326,Desierto,Vulnerable,3748.8,0.0,1.0,3.0
35.0,Pájaro Carpintero,0,6.0,0.37841483979763907,16.1,5.0,3003.0,10.0,0.8682170542635659,Montaña,Vulnerable,3471.5,1.0,0.0,3.0
36.0,Flamenco,0,4.0,0.059443507588532875,19.4,9.0,4194.0,20.0,0.7054263565891472,Selva,En peligro,4071.1,1.0,0.0,4.0
37.0,Águila,0,2.0,0.8113827993254636,14.0,5.0,1578.0,21.0,0.03100775193798444,Selva,En peligro,3782.8,1.0,0.0,3.0
38.0,Tigre de Bengala,2,6.0,0.2536256323777403,37.7,3.0,851.0,24.0,0.2945736434108527,Selva,Extinto en estado silvestre,3163.0,1.0,0.0,3.0
39.0,Abeja,1,6.0,0.9538785834738617,11.0,8.0,1127.0,38.0,0.06976744186046507,Selva,Vulnerable,21.2,1.0,0.0,0.0
40.0,Delfín,2,0.0,0.5221753794266442,20.6,7.0,3264.0,34.0,0.48062015503875966,Selva,Vulnerable,2578.4,1.0,0.0,2.0
41.0,Abeja,1,8.0,0.7151770657672849,17.7,5.0,4722.0,35.0,0.06201550387596899,Desierto,Extinto en estado silvestre,2976.3,0.0,1.0,2.0
42.0,Tiburón,3,0.0,0.46096121416526137,10.2,5.0,4141.0,33.0,0.6434108527131783,Montaña,Vulnerable,4803.2,1.0,0.0,4.0
43.0,Pulpo,1,4.0,0.025295109612141653,37.9,1.0,573.0,24.0,0.8527131782945736,Selva,Extinto en estado silvestre,3252.4,1.0,0.0,3.0
44.0,Elefante,2,6.0,0.06096121416526138,19.4,8.0,4721.0,35.0,0.21705426356589141,Desierto,Extinto en estado silvestre,2877.4,1.0,0.0,2.0
45.0,Flamenco,0,2.0,0.9768128161888701,25.1,6.0,1221.0,31.0,0.7596899224806202,Océano,En peligro,2706.0,0.0,1.0,2.0
46.0,León,2,6.0,0.41121416526138277,27.5,5.0,3993.0,36.0,0.10852713178294571,Desierto,Extinto en estado silvestre,516.6,0.0,1.0,0.0
47.0,Pez Globo,3,2.0,0.18136593591905564,28.3,7.0,4124.0,13.0,0.26356589147286824,Montaña,Vulnerable,2138.2,0.0,1.0,2.0
48.0,Águila,0,2.0,0.7203204047217537,23.8,2.0,4264.0,36.0,0.4651162790697674,Selva,Vulnerable,671.9,1.0,0.0,0.0
49.0,Koala,2,2.0,0.8827150084317031,27.8,3.0,1550.0,15.0,0.14728682170542629,Selva,Extinto en estado silvestre,263.6,1.0,0.0,0.0
50.0,Flamenco,0,8.0,0.2654300168634064,32.6,9.0,633.0,31.0,0.4418604651162791,Selva,En peligro,1647.4,0.0,1.0,1.0
51.0,Pez Payaso,3,0.0,0.5705733558178752,38.6,5.0,868.0,11.0,0.7674418604651163,Montaña,Vulnerable,3227.2,0.0,1.0,3.0
52.0,Caracol,1,4.0,0.24376053962900504,29.7,6.0,4983.0,32.0,0.6589147286821706,Océano,En peligro,4334.0,0.0,1.0,4.0
53.0,Estrella de Mar,1,8.0,0.8228499156829678,23.9,8.0,1360.0,18.0,0.6744186046511627,Océano,Extinto en estado silvestre,4051.8,0.0,1.0,4.0
54.0,Iguana,4,8.0,0.08465430016863407,23.3,3.0,4891.0,17.0,0.0,Desierto,Extinto en estado silvestre,1473.5,0.0,1.0,1.0
55.0,Pájaro Carpintero,0,2.0,0.37133220910623943,31.3,1.0,3636.0,28.0,0.875968992248062,Desierto,Vulnerable,230.1,1.0,0.0,0.0
56.0,Tiburón,3,8.0,0.378752107925801,28.8,4.0,2345.0,17.0,0.6976744186046511,Selva,Vulnerable,2013.5,1.0,0.0,2.0
57.0,Rinoceronte,2,4.0,0.636593591905565,22.6,2.0,3995.0,29.0,0.09302325581395343,Selva,En peligro,1574.0,1.0,0.0,1.0
58.0,Perro,2,4.0,0.1763912310286678,20.1,9.0,1478.0,19.0,0.13178294573643412,Selva,Extinto en estado silvestre,1856.4,1.0,0.0,1.0
59.0,Cocodrilo,4,6.0,0.47419898819561546,39.8,4.0,3544.0,26.0,0.39534883720930225,Desierto,En peligro,2795.5,0.0,1.0,2.0
60.0,Canguro,2,8.0,0.5514333895446879,33.0,9.0,2013.0,28.0,0.5348837209302325,Selva,Vulnerable,152.2,1.0,0.0,0.0
61.0,Caballito de Mar,3,6.0,0.8913996627318718,16.2,7.0,3148.0,10.0,0.4418604651162791,Desierto,Vulnerable,1854.1,0.0,1.0,1.0
62.0,Pez Payaso,3,4.0,0.5259696458684654,18.8,7.0,657.0,30.0,0.20155038759689914,Desierto,En peligro,2793.2,0.0,1.0,2.0
63.0,Camarón,1,8.0,0.12993254637436763,36.8,1.0,244.0,35.0,0.43410852713178294,Montaña,Extinto en estado silvestre,2154.9,0.0,1.0,2.0
64.0,Gorrión,0,2.0,0.09924114671163575,29.8,2.0,3495.0,24.0,0.9534883720930232,Selva,Vulnerable,3336.2,1.0,0.0,3.0
65.0,Pájaro Carpintero,0,2.0,0.9247892074198988,19.3,7.0,5113.0,20.0,0.875968992248062,Selva,Extinto en estado silvestre,930.7,1.0,0.0,0.0
66.0,Zebra,2,8.0,0.9805227655986508,20.9,5.0,3764.0,34.0,0.06201550387596899,Desierto,Vulnerable,769.2,0.0,1.0,0.0
67.0,Águila,0,6.0,0.16517706576728497,21.4,7.0,135.0,16.0,0.6046511627906976,Desierto,Extinto en estado silvestre,1539.4,1.0,0.0,1.0
68.0,Serpiente,4,6.0,0.751433389544688,15.6,3.0,5843.0,25.0,0.4496124031007751,Desierto,Vulnerable,508.7,1.0,0.0,0.0
69.0,Gorrión,0,2.0,0.24915682967959527,25.3,8.0,5256.0,12.0,0.16279069767441856,Montaña,Extinto en estado silvestre,1181.4,0.0,1.0,1.0
70.0,Orangután,2,6.0,0.8333052276559865,33.0,4.0,204.0,32.0,0.6434108527131783,Montaña,Extinto en estado silvestre,434.6,1.0,0.0,0.0
71.0,Suricata,0,2.0,0.0945193929173693,26.9,8.0,883.0,21.0,0.046511627906976716,Desierto,Vulnerable,2009.9,1.0,0.0,2.0
72.0,Pez Payaso,3,0.0,0.43617200674536255,29.7,6.0,3732.0,33.0,0.8992248062015504,Montaña,Extinto en estado silvestre,3557.3,1.0,0.0,3.0
73.0,Pez Payaso,3,2.0,0.5956155143338955,27.9,9.0,5979.0,25.0,0.2790697674418604,Montaña,Extinto en estado silvestre,1432.8,0.0,1.0,1.0
74.0,Escorpión,1,0.0,0.8529510961214165,11.8,6.0,4651.0,29.0,0.5193798449612402,Océano,Vulnerable,18.8,1.0,0.0,0.0
75.0,Caracol,1,8.0,0.85716694772344,15.6,4.0,5534.0,28.0,0.8139534883720929,Selva,En peligro,2785.4,1.0,0.0,2.0
76.0,Caracol,1,0.0,0.1824620573355818,20.5,3.0,884.0,11.0,0.13178294573643412,Desierto,Vulnerable,3459.7,1.0,0.0,3.0
77.0,Avispa,1,4.0,0.9679595278246206,36.7,4.0,982.0,39.0,0.1705426356589147,Océano,En peligro,1956.6,1.0,0.0,1.0
78.0,Pájaro Carpintero,0,6.0,0.6382799325463743,20.5,7.0,2444.0,17.0,0.7286821705426356,Océano,Vulnerable,1485.1,0.0,1.0,1.0
79.0,Panda,2,0.0,0.6585160202360877,19.8,8.0,5281.0,28.0,0.5813953488372092,Montaña,En peligro,2453.2,0.0,1.0,2.0
80.0,Flamenco,0,4.0,0.8895446880269814,12.4,2.0,1220.0,32.0,0.10852713178294571,Desierto,En peligro,506.3,1.0,0.0,0.0
81.0,Hipopótamo,2,4.0,0.3189713322091062,39.2,9.0,705.0,20.0,1.0,Montaña,Vulnerable,3219.7,0.0,1.0,3.0
82.0,Orangután,2,6.0,0.41416526138279924,33.4,7.0,3901.0,36.0,0.9379844961240309,Océano,Extinto en estado silvestre,3666.5,1.0,0.0,3.0
83.0,Tigre de Bengala,2,2.0,0.9858347386172005,33.0,7.0,2606.0,20.0,0.4263565891472868,Océano,Vulnerable,3523.2,0.0,1.0,3.0
84.0,Tigre,2,4.0,0.014165261382799325,21.5,4.0,2273.0,11.0,0.7441860465116279,Océano,En peligro,1643.4,1.0,0.0,1.0
85.0,Pez Espada,3,0.0,0.8676222596964586,12.4,7.0,1025.0,14.0,0.10077519379844957,Selva,En peligro,4213.6,0.0,1.0,4.0
86.0,León,2,6.0,0.8429173693086003,17.9,2.0,3283.0,14.0,0.7984496124031006,Desierto,En peligro,4734.2,1.0,0.0,4.0
87.0,Águila,0,0.0,0.2608768971332209,35.6,3.0,1991.0,34.0,1.0,Selva,Vulnerable,1485.4,1.0,0.0,1.0
88.0,Gorila,2,2.0,0.8220067453625631,15.4,2.0,1316.0,33.0,0.023255813953488358,Océano,En peligro,1313.7,1.0,0.0,1.0
89.0,Tiburón,3,6.0,0.3289207419898819,36.8,5.0,3151.0,33.0,0.9844961240310077,Océano,Extinto en estado silvestre,3520.6,0.0,1.0,3.0
90.0,Gorrión,0,4.0,0.6286677908937605,26.1,1.0,118.0,19.0,0.7054263565891472,Océano,Extinto en estado silvestre,3541.4,0.0,1.0,3.0
91.0,Iguana,4,0.0,0.4459527824620573,31.4,2.0,4693.0,11.0,0.5891472868217054,Selva,Extinto en estado silvestre,2552.1,1.0,0.0,2.0
92.0,Albatros,0,0.0,0.09924114671163575,23.6,6.0,1854.0,24.0,0.5968992248062015,Montaña,Vulnerable,4616.6,1.0,0.0,4.0
93.0,Caballito de Mar,3,4.0,0.8959527824620572,38.0,6.0,4103.0,27.0,0.875968992248062,Desierto,Extinto en estado silvestre,731.7,1.0,0.0,0.0
94.0,Tiburón,3,4.0,0.5446880269814502,17.2,8.0,1908.0,21.0,0.5658914728682171,Montaña,Vulnerable,2386.9,0.0,1.0,2.0
95.0,Abeja,1,2.0,0.48102866779089376,27.2,9.0,4085.0,19.0,0.9612403100775193,Montaña,En peligro,176.1,1.0,0.0,0.0
96.0,Tortuga,4,2.0,0.880016863406408,12.1,9.0,426.0,16.0,0.5813953488372092,Océano,Vulnerable,263.4,0.0,1.0,0.0
97.0,León,2,4.0,0.3266441821247892,24.4,7.0,2649.0,24.0,0.6434108527131783,Selva,Extinto en estado silvestre,268.5,0.0,1.0,0.0
98.0,Pez Payaso,3,6.0,0.5698145025295109,39.2,1.0,5735.0,24.0,0.5813953488372092,Montaña,Vulnerable,2459.0,1.0,0.0,2.0
99.0,Escorpión,1,4.0,0.8827993254637435,12.6,4.0,2326.0,21.0,0.5116279069767442,Selva,Vulnerable,2944.9,1.0,0.0,2.0
100.0,Avispa,1,4.0,0.34156829679595274,25.2,7.0,5881.0,38.0,0.5426356589147286,Selva,Vulnerable,17.5,1.0,0.0,0.0
101.0,Oso Pardo,2,8.0,0.7937605396290051,28.1,2.0,639.0,38.0,0.5891472868217054,Selva,Vulnerable,3162.8,0.0,1.0,3.0
102.0,Martinete,0,6.0,0.5136593591905565,38.0,9.0,1203.0,29.0,0.5736434108527131,Desierto,En peligro,2448.6,1.0,0.0,2.0
103.0,Tortuga,4,6.0,0.15581787521079257,18.9,1.0,4700.0,24.0,0.8914728682170543,Montaña,Vulnerable,1119.1,1.0,0.0,1.0
104.0,Lobo,2,2.0,0.038279932546374365,25.1,9.0,3765.0,12.0,0.6434108527131783,Océano,Vulnerable,75.6,0.0,1.0,0.0
105.0,Jirafa,2,2.0,0.7267284991568297,39.6,7.0,2763.0,25.0,0.37209302325581395,Océano,Vulnerable,780.6,0.0,1.0,0.0
106.0,Flamenco,0,2.0,0.26028667790893756,33.1,6.0,2265.0,38.0,0.48062015503875966,Desierto,En peligro,3001.7,1.0,0.0,3.0
107.0,Gorrión,0,0.0,0.8160202360876896,34.3,7.0,145.0,28.0,0.20155038759689914,Montaña,En peligro,3294.2,1.0,0.0,3.0
108.0,Caballito de Mar,3,6.0,0.18709949409780777,33.4,2.0,3130.0,16.0,0.8062015503875968,Océano,En peligro,3235.3,0.0,1.0,3.0
109.0,Flamenco,0,8.0,0.5672849915682967,25.5,2.0,5772.0,26.0,0.4418604651162791,Selva,Vulnerable,765.9,0.0,1.0,0.0
110.0,Pájaro Carpintero,0,2.0,0.09131534569983135,23.0,3.0,1056.0,13.0,0.9379844961240309,Océano,Vulnerable,4556.1,1.0,0.0,4.0
111.0,Tortuga,4,2.0,0.7358347386172006,17.6,6.0,1457.0,31.0,0.9379844961240309,Montaña,En peligro,2054.8,0.0,1.0,2.0
112.0,Cocodrilo,4,2.0,0.7658516020236087,24.0,1.0,5490.0,24.0,0.06201550387596899,Selva,Vulnerable,3840.1,0.0,1.0,3.0
113.0,Cocodrilo,4,2.0,0.9172006745362562,10.6,4.0,3788.0,18.0,0.9922480620155039,Desierto,Vulnerable,832.5,1.0,0.0,0.0
114.0,Orangután,2,2.0,0.5607925801011804,12.9,8.0,1607.0,37.0,0.5813953488372092,Océano,En peligro,2352.9,1.0,0.0,2.0
115.0,Cocodrilo,4,0.0,0.10438448566610456,18.6,8.0,5819.0,26.0,0.7054263565891472,Océano,En peligro,2607.7,0.0,1.0,2.0
116.0,Tortuga,4,8.0,0.8280775716694772,20.0,5.0,1073.0,10.0,0.13953488372093026,Desierto,Extinto en estado silvestre,3851.8,1.0,0.0,3.0
117.0,Camarón,1,6.0,0.31247892074198985,31.2,7.0,2369.0,11.0,0.9379844961240309,Montaña,En peligro,3107.6,0.0,1.0,3.0
118.0,Cocodrilo,4,8.0,0.9001686340640809,15.1,5.0,1522.0,16.0,0.6124031007751938,Selva,En peligro,1996.6,0.0,1.0,1.0
119.0,Koala,2,4.0,0.9786677908937604,33.9,4.0,3154.0,32.0,0.6744186046511627,Océano,En peligro,1412.6,0.0,1.0,1.0
120.0,Abeja,1,6.0,0.13052276559865092,34.0,6.0,535.0,23.0,0.03875968992248058,Montaña,En peligro,4864.8,0.0,1.0,4.0
121.0,Gato,2,2.0,0.08077571669477232,27.6,8.0,3079.0,14.0,0.8682170542635659,Selva,Vulnerable,1422.7,0.0,1.0,1.0
122.0,Panda,2,4.0,0.8981450252951095,24.7,1.0,760.0,13.0,0.7209302325581395,Océano,En peligro,647.5,1.0,0.0,0.0
123.0,Libélula,1,4.0,0.8994940978077571,24.0,3.0,5218.0,22.0,0.1705426356589147,Montaña,Vulnerable,1502.2,1.0,0.0,1.0
124.0,Abeja,1,4.0,0.5847386172006744,22.6,4.0,207.0,19.0,0.13953488372093026,Montaña,Vulnerable,1634.7,0.0,1.0,1.0
125.0,Escorpión,1,4.0,0.8887015177065767,12.7,5.0,4910.0,22.0,1.0,Desierto,En peligro,639.4,0.0,1.0,0.0
126.0,Avispa,1,2.0,0.9311973018549746,29.7,1.0,4993.0,31.0,0.8294573643410852,Océano,En peligro,3540.8,1.0,0.0,3.0
127.0,Nutria,2,4.0,0.5548060708263068,27.3,9.0,3263.0,33.0,0.8062015503875968,Selva,Extinto en estado silvestre,3095.9,1.0,0.0,3.0
128.0,Libélula,1,8.0,0.6864249578414839,10.5,8.0,1997.0,21.0,0.3255813953488371,Océano,Vulnerable,1583.1,1.0,0.0,1.0
129.0,Águila,0,2.0,0.6132377740303541,16.1,2.0,4005.0,32.0,0.24806201550387597,Desierto,En peligro,4965.0,1.0,0.0,4.0
130.0,Serpiente,4,4.0,0.1727655986509275,23.1,5.0,1395.0,27.0,0.9147286821705427,Selva,Vulnerable,3275.1,0.0,1.0,3.0
131.0,Tortuga,4,4.0,0.4352445193929173,37.0,9.0,25.0,20.0,0.2558139534883721,Montaña,Extinto en estado silvestre,3516.0,0.0,1.0,3.0
132.0,Pájaro Carpintero,0,8.0,0.6811973018549746,39.7,3.0,506.0,27.0,0.5968992248062015,Desierto,En peligro,2786.0,1.0,0.0,2.0
133.0,Panda,2,0.0,0.6098650927487352,32.5,5.0,860.0,31.0,0.7674418604651163,Selva,Extinto en estado silvestre,2757.9,0.0,1.0,2.0
134.0,Tigre,2,0.0,0.2134064080944351,32.5,9.0,4473.0,21.0,0.14728682170542629,Selva,Vulnerable,100.2,0.0,1.0,0.0
135.0,Cocodrilo,4,8.0,0.9103709949409781,22.5,6.0,3027.0,10.0,0.4728682170542635,Océano,Extinto en estado silvestre,3854.6,1.0,0.0,3.0
136.0,Pez Globo,3,0.0,0.7842327150084316,27.1,5.0,4160.0,30.0,0.007751937984496082,Montaña,Extinto en estado silvestre,4553.7,0.0,1.0,4.0
137.0,Gaviota,0,6.0,0.06627318718381112,17.0,8.0,3981.0,25.0,0.6744186046511627,Desierto,Vulnerable,611.4,0.0,1.0,0.0
138.0,Pájaro Carpintero,0,6.0,0.34283305227655986,32.1,5.0,2850.0,23.0,0.9069767441860466,Montaña,Vulnerable,3978.2,0.0,1.0,3.0
139.0,Iguana,4,6.0,0.9964586846543,11.8,9.0,596.0,10.0,0.5193798449612402,Desierto,Vulnerable,2671.6,1.0,0.0,2.0
140.0,Pulpo,1,0.0,0.3887015177065767,22.5,3.0,2019.0,16.0,0.6046511627906976,Océano,Vulnerable,1426.6,1.0,0.0,1.0
141.0,Caballito de Mar,3,6.0,0.6632377740303541,34.9,1.0,3891.0,28.0,0.6356589147286822,Selva,Vulnerable,4604.4,0.0,1.0,4.0
142.0,Delfín,2,6.0,0.09856661045531198,39.4,4.0,4461.0,34.0,0.8604651162790697,Océano,Vulnerable,87.0,1.0,0.0,0.0
143.0,Gorila,2,0.0,0.3095278246205733,30.9,7.0,5907.0,14.0,0.26356589147286824,Desierto,Extinto en estado silvestre,1370.4,1.0,0.0,1.0
144.0,Canguro,2,8.0,0.8825463743676222,15.9,3.0,5977.0,26.0,0.7906976744186045,Montaña,Vulnerable,4431.3,0.0,1.0,4.0
145.0,Panda,2,2.0,0.5097807757166948,27.1,8.0,4594.0,19.0,0.31007751937984496,Selva,Vulnerable,2405.1,1.0,0.0,2.0
146.0,Flamenco,0,6.0,0.8254637436762225,26.8,2.0,3866.0,13.0,0.9379844961240309,Desierto,Vulnerable,2994.6,1.0,0.0,2.0
147.0,Martinete,0,0.0,0.005227655986509275,39.0,9.0,168.0,33.0,0.24031007751937983,Selva,Vulnerable,3748.9,0.0,1.0,3.0
148.0,Escorpión,1,2.0,0.6659359190556492,35.2,3.0,1923.0,23.0,0.9379844961240309,Selva,En peligro,740.0,0.0,1.0,0.0
149.0,Águila,0,2.0,0.2984822934232714,11.5,6.0,4971.0,32.0,0.4108527131782945,Océano,Extinto en estado silvestre,1076.0,1.0,0.0,1.0
150.0,Avispa,1,4.0,0.8612141652613828,16.6,7.0,4135.0,15.0,0.11627906976744184,Desierto,Extinto en estado silvestre,4993.1,1.0,0.0,4.0
151.0,Estrella de Mar,1,2.0,0.9447723440134906,35.3,5.0,3309.0,34.0,0.06976744186046507,Montaña,En peligro,1187.3,0.0,1.0,1.0
152.0,Elefante,2,6.0,0.6875210792580101,39.2,5.0,508.0,37.0,0.4031007751937984,Océano,Extinto en estado silvestre,2696.1,0.0,1.0,2.0
153.0,Perro,2,8.0,0.14409780775716693,18.8,1.0,4076.0,21.0,0.627906976744186,Océano,Extinto en estado silvestre,1493.6,0.0,1.0,1.0
154.0,Albatros,0,6.0,0.4672006745362563,30.7,4.0,5117.0,39.0,0.2558139534883721,Océano,Vulnerable,4257.1,1.0,0.0,4.0
155.0,Suricata,0,4.0,0.463575042158516,19.2,1.0,873.0,29.0,0.6511627906976745,Desierto,Extinto en estado silvestre,4808.8,1.0,0.0,4.0
156.0,Mantis Religiosa,1,2.0,0.8306913996627319,11.2,9.0,3842.0,35.0,0.6511627906976745,Desierto,En peligro,706.5,0.0,1.0,0.0
157.0,Iguana,4,4.0,0.45969645868465425,34.9,9.0,5823.0,21.0,0.9922480620155039,Selva,Extinto en estado silvestre,3002.9,0.0,1.0,3.0
158.0,Perro,2,6.0,0.33128161888701513,32.2,5.0,5916.0,39.0,0.4496124031007751,Selva,En peligro,4057.9,1.0,0.0,4.0
159.0,Pez Espada,3,6.0,0.6109612141652613,11.6,5.0,181.0,10.0,0.7596899224806202,Selva,En peligro,4115.2,1.0,0.0,4.0
160.0,Cocodrilo,4,6.0,0.646795952782462,14.4,5.0,6.0,39.0,0.18604651162790697,Selva,Extinto en estado silvestre,2202.3,0.0,1.0,2.0
161.0,Orangután,2,8.0,0.810202360876897,40.0,7.0,4760.0,21.0,0.2325581395348837,Océano,Vulnerable,1127.0,1.0,0.0,1.0
162.0,Panda,2,6.0,0.9010118043844857,29.5,6.0,407.0,35.0,0.5658914728682171,Montaña,En peligro,1935.8,1.0,0.0,1.0
163.0,Flamenco,0,6.0,0.8904721753794266,34.0,2.0,5418.0,15.0,0.9612403100775193,Selva,Extinto en estado silvestre,3755.8,1.0,0.0,3.0
164.0,Pez Payaso,3,2.0,0.6263912310286677,21.7,3.0,1422.0,13.0,0.01550387596899222,Desierto,Extinto en estado silvestre,4968.9,0.0,1.0,4.0
165.0,Tiburón,3,8.0,0.5236087689713321,25.5,5.0,1614.0,26.0,0.6589147286821706,Selva,Vulnerable,2771.5,0.0,1.0,2.0
166.0,Koala,2,2.0,0.8015177065767284,28.6,7.0,5671.0,19.0,0.7829457364341086,Desierto,Vulnerable,975.7,1.0,0.0,0.0
167.0,Camarón,1,4.0,0.30539629005059016,34.2,2.0,2522.0,28.0,0.9302325581395348,Montaña,Extinto en estado silvestre,209.8,0.0,1.0,0.0
168.0,Tiburón,3,0.0,0.7580101180438448,20.2,4.0,825.0,20.0,0.7984496124031006,Océano,Vulnerable,4718.5,0.0,1.0,4.0
169.0,Serpiente,4,2.0,0.5053962900505902,30.2,1.0,5740.0,10.0,0.4728682170542635,Montaña,En peligro,2415.2,0.0,1.0,2.0
170.0,Camarón,1,8.0,0.12158516020236088,33.3,7.0,95.0,14.0,0.6744186046511627,Montaña,Extinto en estado silvestre,3583.0,1.0,0.0,3.0
